"# Dubai buildings by registered sales 2026 - TEX & TEX Real Estate, computed from Dubai Land Department open data, generated 2026-09-23. Free to republish with attribution and a link to https://data.tex.ae"
project,area,sales,median_psf,median_price,offplan_share
SKYSCAPE,BUKADRA,158,2430,2146444,1.0
Avarra by Palace,BUSINESS BAY,155,3490,3218888,1.0
Al Habtoor Tower,BUSINESS BAY,154,2730,3444896,1.0
Vincitore Wellness Estate,MAJAN,153,1856,1266000,1.0
PEARL HOUSE IV BY IMTIAZ,JUMEIRAH VILLAGE CIRCLE,153,1640,1329135,1.0
Luma Park Views,JUMEIRAH VILLAGE CIRCLE,153,1616,1397000,0.0
Verdana Residence 5,DUBAI INVESTMENT PARK FIRST,153,1020,793360,1.0
Azizi Mirage 1,DUBAI STUDIO CITY,152,1402,555000,0.013
Samana Resorts,DUBAI PRODUCTION CITY,152,1280,1112548,1.0
ASPIRZ By Danube,DUBAI SPORTS CITY,152,2266,907085,1.0
DAMAC ISLANDS 2 - ANTIGUA 1,AL YELAYISS 1,152,1932,2994000,1.0
Passo By Beyond,PALM JUMEIRAH,151,6297,9668000,1.0
Artistry One Residences,ZAABEEL SECOND,151,3139,3416000,1.0
Franck Muller Yachting,DUBAI MARITIME CITY,151,2650,1990000,1.0
City Walk Crestlane 5,AL WASL,150,3410,3737500,1.0
Peace Lagoons II by Peace Homes,DUBAI LAND RESIDENCE COMPLEX,147,1592,800000,1.0
Verdana 4,DUBAI INVESTMENT PARK FIRST,146,1262,1330282,1.0
REMRAAM,REMRAAM,146,940,790000,0.0
BARARIGATE by ADE,MAJAN,145,1611,732000,1.0
OXFORD COVE,JUMEIRAH VILLAGE CIRCLE,144,1597,1077221,1.0
Lyvia by Palace,AL KHAIRAN FIRST,144,2637,2969888,1.0
Binghatti Hillside,DUBAI SCIENCE PARK,142,2136,805999,1.0
Sobha Hartland - Crest Grande,SOBHA HEARTLAND,141,1956,2700000,0.199
Greencrest,HADAEQ SHEIKH MOHAMMED BIN RASHID,141,2138,1803888,1.0
RITAJ,DUBAI INVESTMENT PARK SECOND,141,770,569772,0.0
Paradise View 1,MAJAN,141,893,720000,0.0
Sobha Hartland - The Crest,SOBHA HEARTLAND,139,2224,1700000,0.0
Sky Line By Peace Homes,DUBAI LAND RESIDENCE COMPLEX,139,1500,750981,1.0
SOBHA ONE,RAS AL KHOR INDUSTRIAL FIRST,139,2302,1816625,1.0
THE HILLGATE,SILICON OASIS,139,1635,1907828,1.0
Lumena Alta by Omniyat,BUSINESS BAY,138,6132,23036000,1.0
CHELSEA RESIDENCES 2 BY DAMAC,DUBAI MARITIME CITY,138,3203,2729500,1.0
Azizi David,SAMA AL JADAF,137,2379,837540,1.0
AZIZI JEWEL ,AL FURJAN,137,1519,544000,1.0
Azizi Gabriel,JABAL ALI INDUSTRIAL SECOND,136,1699,596000,1.0
Peninsula Three,BUSINESS BAY,136,2662,1750000,0.0
Reportage Village 1 ,WADI AL SAFA 7,135,1240,1257619,1.0
AMAAL 8,HORIZON,134,2331,2135444,1.0
Enchante By GRID,ARJAN,131,1769,693000,1.0
Weybridge Gardens 5,DUBAI LAND RESIDENCE COMPLEX,131,1529,817539,1.0
AURESTA TOWER,JUMEIRAH VILLAGE CIRCLE,131,1531,693070,1.0
Sera Gardens by Vision,DUBAI PRODUCTION CITY,130,1510,952650,1.0
SAAS Hills,DUBAI SCIENCE PARK,130,1786,1685149,1.0
Palm Central Private Residences - Frond M,PALM JABAL ALI,127,3472,4515000,1.0
ADEBA AZIZI ,DUBAI HEALTHCARE CITY - PHASE 2,125,2038,1483545,1.0
Grand Polo - Equiterra ,DUBAI INVESTMENT PARK SECOND,125,2031,4685888,0.704
Mirdad,MOTOR CITY,124,1888,1429896,1.0
Reef 998,DUBAI LAND RESIDENCE COMPLEX,124,1544,1051480,1.0
Eden Hills,HADAEQ SHEIKH MOHAMMED BIN RASHID,124,2564,20700000,0.0
Seraph by Wadan,DUBAI LAND RESIDENCE COMPLEX,123,1259,1017543,1.0
THE CAPE,AL BARARI,123,2943,5717587,1.0
ENRE RESIDENCE BY IMTIAZ,DUBAI SOUTH,123,1571,1362054,1.0
Hills View at Wasl Gate,JABAL ALI FIRST,123,1425,1081000,1.0
California Residences,WADI AL SAFA 4,122,1415,1595440,1.0
Verdana Residence 6,DUBAI INVESTMENT PARK FIRST,122,1238,846400,1.0
Verdana Residence 7 ,DUBAI INVESTMENT PARK FIRST,120,1203,853600,1.0
ELARIS Sky,JUMEIRAH VILLAGE TRIANGLE,117,1608,1140050,1.0
Wynwood Horizon by Imtiaz,HORIZON,117,2323,2235618,1.0
